:ID,name,email,orcid,:LABEL
author_1,Anna Müller,anna.müller@tübingen.de,0000-0000-0001,Entity;Person;Author
author_2,Anna Schmidt,anna.schmidt@tübingen.de,0000-0000-0002,Entity;Person;Author
author_3,Anna Klein,anna.klein@tübingen.de,0000-0000-0003,Entity;Person;Author
author_4,Bruno Müller,bruno.müller@heidelberg.de,0000-0001-0004,Entity;Person;Author
author_5,Bruno Schmidt,bruno.schmidt@heidelberg.de,0000-0001-0005,Entity;Person;Author
author_6,Bruno Klein,bruno.klein@heidelberg.de,0000-0001-0006,Entity;Person;Author
author_7,Clara Müller,clara.müller@göttingen.de,0000-0002-0007,Entity;Person;Author
author_8,Clara Schmidt,clara.schmidt@göttingen.de,0000-0002-0008,Entity;Person;Author
author_9,Clara Klein,clara.klein@göttingen.de,0000-0002-0009,Entity;Person;Author
author_10,David Müller,david.müller@marburg.de,0000-0003-0010,Entity;Person;Author
author_11,David Schmidt,david.schmidt@marburg.de,0000-0003-0011,Entity;Person;Author
author_12,David Klein,david.klein@marburg.de,0000-0003-0012,Entity;Person;Author
author_13,Eva Müller,eva.müller@bonn.de,0000-0004-0013,Entity;Person;Author
author_14,Eva Schmidt,eva.schmidt@bonn.de,0000-0004-0014,Entity;Person;Author
author_15,Eva Klein,eva.klein@bonn.de,0000-0004-0015,Entity;Person;Author
author_16,Felix Müller,felix.müller@konstanz.de,0000-0005-0016,Entity;Person;Author
author_17,Felix Schmidt,felix.schmidt@konstanz.de,0000-0005-0017,Entity;Person;Author
author_18,Felix Klein,felix.klein@konstanz.de,0000-0005-0018,Entity;Person;Author
author_19,Greta Müller,greta.müller@freiburg.de,0000-0006-0019,Entity;Person;Author
author_20,Greta Schmidt,greta.schmidt@freiburg.de,0000-0006-0020,Entity;Person;Author
author_21,Greta Klein,greta.klein@freiburg.de,0000-0006-0021,Entity;Person;Author
author_22,Henrik Müller,henrik.müller@tübingen.de,0000-0007-0022,Entity;Person;Author
author_23,Henrik Schmidt,henrik.schmidt@tübingen.de,0000-0007-0023,Entity;Person;Author
author_24,Henrik Klein,henrik.klein@tübingen.de,0000-0007-0024,Entity;Person;Author
author_25,Iris Müller,iris.müller@heidelberg.de,0000-0008-0025,Entity;Person;Author
author_26,Iris Schmidt,iris.schmidt@heidelberg.de,0000-0008-0026,Entity;Person;Author
author_27,Iris Klein,iris.klein@heidelberg.de,0000-0008-0027,Entity;Person;Author
author_28,Jonas Müller,jonas.müller@göttingen.de,0000-0009-0028,Entity;Person;Author
author_29,Jonas Schmidt,jonas.schmidt@göttingen.de,0000-0009-0029,Entity;Person;Author
author_30,Jonas Klein,jonas.klein@göttingen.de,0000-0009-0030,Entity;Person;Author
